Sl. No.,Year & Author,Title,Publisher/Journal,Dataset Used,Research Gap,Proposed Solution,Main ML/DL Methods,"Performance (Accuracy, Precision, Recall, F1-Score, etc.)",Limitations,Future Work,Citation (BibTeX Format)
1,2024 Dave et al.,[BASE PAPER] From Clicks to Security: Investigating Continuous Authentication via Mouse Dynamics,Elsevier - Computers & Security,Balabit Mouse Dynamics,Reliance on OS-level agents limits web scalability.,Proposed a generalized ML framework for mouse dynamics classification.,"Random Forest, SVM","Accuracy: 96.5%, F1-Score: 0.95",High processing overhead.,Optimize for browser-level DOM events.,"@article{dave2024clicks, author={Dave, R. and others}, title={From Clicks to Security}, journal={Computers & Security}, year={2024}, publisher={Elsevier}}"
2,2023 Zheng et al.,Continuous User Authentication via Mouse Dynamics: A Deep Learning Approach,Elsevier - Expert Systems with Applications,Balabit & Custom Web Logs,Traditional ML struggles with sequential temporal dependencies in cursor data.,Employed sequence-to-sequence LSTM models for temporal feature extraction.,"LSTM, RNN","Accuracy: 97.2%, EER: 2.1%",Requires long interaction windows (>10s) to authenticate.,Shorten authentication time-window.,"@article{zheng2023continuous, author={Zheng, Y. and others}, title={Continuous User Authentication via Mouse Dynamics}, journal={Expert Systems with Applications}, year={2023}, publisher={Elsevier}}"
3,2024 Wang et al.,Zero-Trust Architecture: Integrating Behavioral Biometrics in Web Sessions,Elsevier - Information Sciences,WebAuth-Mouse Dataset,Zero-Trust systems lack passive verification mechanisms.,Integrated mouse dynamics into a real-time trust scoring API.,"Isolation Forest, One-Class SVM","Precision: 0.94, Recall: 0.92",Prone to false positives during user fatigue.,Incorporate context-aware fatigue modeling.,"@article{wang2024zerotrust, author={Wang, C. and others}, title={Zero-Trust Architecture}, journal={Information Sciences}, year={2024}, publisher={Elsevier}}"
4,2022 Shen et al.,Behavioral Biometrics in Web Applications: A Survey,Elsevier - Pattern Recognition,N/A (Review),Fragmented methodologies in DOM-based cursor tracking.,Taxonomy of web-based behavioral tracking methods.,N/A,N/A,Lacks empirical validation of frameworks.,Standardize DOM tracking metrics.,"@article{shen2022behavioral, author={Shen, L. and others}, title={Behavioral Biometrics in Web Applications}, journal={Pattern Recognition}, year={2022}, publisher={Elsevier}}"
5,2023 Chen et al.,Anomaly Detection in Mouse Movements for Insider Threat Mitigation,Elsevier - Computers & Security,Balabit Mouse Dynamics,Supervised models fail against zero-day imposters.,Utilized unsupervised anomaly detection to baseline valid users.,"One-Class SVM, Autoencoders","F1-Score: 0.93, AUC: 0.96",High computational cost for real-time Autoencoders.,Lightweight edge-computing models.,"@article{chen2023anomaly, author={Chen, H. and others}, title={Anomaly Detection in Mouse Movements}, journal={Computers & Security}, year={2023}, publisher={Elsevier}}"
6,2024 Alqahtani et al.,Web-Based Continuous Authentication Using Spatial-Temporal Cursor Features,Elsevier - Future Generation Computer Systems,Custom E-commerce Logs,Lack of spatial-temporal fusion in cursor tracking.,Extracted combined angle-velocity matrices for CNNs.,1D-CNN,"Accuracy: 98.1%, Precision: 0.97",Model degrades with different screen resolutions.,Resolution-agnostic normalization.,"@article{alqahtani2024webbased, author={Alqahtani, A. and others}, title={Web-Based Continuous Authentication}, journal={Future Generation Computer Systems}, year={2024}, publisher={Elsevier}}"
7,2021 Hinbarji et al.,A Comprehensive Analysis of the Balabit Mouse Dynamics Challenge,IEEE Transactions on Information Forensics and Security,Balabit Mouse Dynamics,Unclear which specific features yield highest discriminatory power.,"Conducted exhaustive feature selection (PCA, ANOVA).","XGBoost, Decision Trees",Accuracy: 95.8%,Did not address multi-device variability.,Cross-device biometric profiling.,"@article{hinbarji2021comprehensive, author={Hinbarji, M. and others}, title={A Comprehensive Analysis of Balabit}, journal={IEEE TIFS}, year={2021}}"
8,2022 Lee & Kim,Fusing Keystroke and Mouse Dynamics for Robust Session Security,Elsevier - Computers & Security,Twitch/Balabit Hybrid,Mouse dynamics alone can be easily spoofed by advanced bots.,Fused keystroke timing with mouse velocity curves.,Multi-modal Neural Networks,"Accuracy: 99.2%, EER: 0.8%",Fails on pages requiring minimal keyboard input.,Adaptive weighting for single-mode environments.,"@article{lee2022fusing, author={Lee, J. and Kim, S.}, title={Fusing Keystroke and Mouse Dynamics}, journal={Computers & Security}, year={2022}, publisher={Elsevier}}"
9,2023 Roy et al.,Optimal Feature Selection for Real-Time Mouse Biometrics,Elsevier - Knowledge-Based Systems,Balabit Mouse Dynamics,Processing all cursor features causes UI latency in web browsers.,Applied Genetic Algorithms to isolate the top 10 lightweight features.,"Random Forest, KNN",Accuracy: 94.5% with 70% less latency,Slight drop in recall compared to full-feature models.,Hybrid filtering algorithms.,"@article{roy2023optimal, author={Roy, S. and others}, title={Optimal Feature Selection}, journal={Knowledge-Based Systems}, year={2023}, publisher={Elsevier}}"
10,2024 Kumar et al.,Preventing Web Session Hijacking via Mouse Trajectory Analysis,Elsevier - Information & Management,Web Session Hijack DB,Token theft bypasses server-side checks.,Client-side JS logger analyzing trajectory curvature in real-time.,Gradient Boosting,"Detection Rate: 97.4%, F1: 0.96",Client-side JS can be disabled by attackers.,Server-side trajectory validation.,"@article{kumar2024preventing, author={Kumar, A. and others}, title={Preventing Web Session Hijacking}, journal={Information & Management}, year={2024}, publisher={Elsevier}}"
